,movie,chapter,character,dialog,Unnamed: 0,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
7455,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,i know i ought not to be here the dark lord himself has forbidden me to speak of this,10.0,female,2009,"['I', 'know', 'I', 'ought', 'not', 'dark', 'lord', 'forbid', 'I', 'speak']",I know I ought not dark lord forbid I speak,"['ought', 'dark', 'lord', 'forbid', 'speak']",ought dark lord forbid speak
7456,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,if the dark lord has forbidden it you ought not to speak,11.0,male,2009,"['dark', 'lord', 'forbid', 'ought', 'not', 'speak']",dark lord forbid ought not speak,"['dark', 'lord', 'forbid', 'ought', 'speak']",dark lord forbid ought speak
7457,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,put it down bella  we mustn't touch what isn't ours as it so happens i'm aware of your situation narcissa,12.0,male,2009,"['put', 'bella', 'must', 'not', 'touch', 'not', 'happen', 'I', 'aware', 'situation', 'narcissa']",put bella must not touch not happen I aware situation narcissa,"['put', 'bella', 'must', 'touch', 'happen', 'aware', 'situation', 'narcissa']",put bella must touch happen aware situation narcissa
7458,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,you the dark lord told you,13.0,female,2009,"['dark', 'lord', 'tell']",dark lord tell,"['dark', 'lord', 'tell']",dark lord tell
7459,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,your sister doubts me narcissa understandable,14.0,male,2009,"['sister', 'doubt', 'I', 'narcissa', 'understandable']",sister doubt I narcissa understandable,"['sister', 'doubt', 'narcissa', 'understandable']",sister doubt narcissa understandable
7460,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,over the years i have played my part well  so well i've deceived one of the greatest wizards of all time,15.0,male,2009,"['year', 'I', 'play', 'part', 'well', 'well', 'I', 'deceive', 'one', 'great', 'wizard', 'time']",year I play part well well I deceive one great wizard time,"['year', 'play', 'part', 'deceive', 'great', 'wizard', 'time']",year play part deceive great wizard time
7461,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,dumbledore is a great wizard only a fool would question it,16.0,male,2009,"['dumbledore', 'great', 'wizard', 'fool', 'would', 'question']",dumbledore great wizard fool would question,"['dumbledore', 'great', 'wizard', 'fool', 'question']",dumbledore great wizard fool question
7462,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,i i don't doubt you severus,17.0,female,2009,"['I', 'I', 'not', 'doubt', 'severus']",I I not doubt severus,"['doubt', 'severus']",doubt severus
7463,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,you should feel honored cissy as should draco,18.0,female,2009,"['feel', 'honored', 'cissy', 'draco']",feel honored cissy draco,"['feel', 'honored', 'cissy', 'draco']",feel honored cissy draco
7464,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,he's just a boy!,19.0,female,2009,"['boy', '!']",boy !,"['boy', '!']",boy !
7465,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i can't change the dark lord's mind  but it might be possible for me to help draco  to provide some protection,20.0,male,2009,"['I', 'not', 'change', 'dark', 'lord', ""'s"", 'mind', 'might', 'possible', 'I', 'help', 'draco', 'provide', 'protection']",I not change dark lord 's mind might possible I help draco provide protection,"['change', 'dark', 'lord', 'mind', 'might', 'possible', 'help', 'draco', 'provide', 'protection']",change dark lord mind might possible help draco provide protection
7466,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,do you mean it severus,21.0,female,2009,"['mean', 'severus']",mean severus,"['mean', 'severus']",mean severus
7467,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i can try,22.0,male,2009,"['I', 'try']",I try,['try'],try
7468,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,oh severus please if you would i would be forever in your debt,23.0,female,2009,"['oh', 'severus', 'please', 'would', 'I', 'would', 'forever', 'debt']",oh severus please would I would forever debt,"['oh', 'severus', 'please', 'forever', 'debt']",oh severus please forever debt
7469,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,swear to it,24.0,female,2009,['swear'],swear,['swear'],swear
7470,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,make the unbreakable vow you see  it's just empty words oh he'll try  he'll give it his best effort  but when it matters most he'll slither back into his hole  bloody coward,25.0,female,2009,"['make', 'unbreakable', 'vow', 'see', 'empty', 'word', 'oh', 'try', 'give', 'good', 'effort', 'matter', 'slither', 'back', 'hole', 'bloody', 'coward']",make unbreakable vow see empty word oh try give good effort matter slither back hole bloody coward,"['make', 'unbreakable', 'vow', 'empty', 'word', 'oh', 'try', 'give', 'good', 'effort', 'matter', 'slither', 'back', 'hole', 'bloody', 'coward']",make unbreakable vow empty word oh try give good effort matter slither back hole bloody coward
7471,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,take out your wand,26.0,male,2009,"['take', 'wand']",take wand,"['take', 'wand']",take wand
7472,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,will you severus snape watch over draco malfoy as he attempts to fulfill the dark lord's wishes,27.0,female,2009,"['severus', 'snape', 'watch', 'draco', 'malfoy', 'attempt', 'fulfill', 'dark', 'lord', ""'s"", 'wish']",severus snape watch draco malfoy attempt fulfill dark lord 's wish,"['severus', 'snape', 'watch', 'draco', 'malfoy', 'attempt', 'fulfill', 'dark', 'lord', 'wish']",severus snape watch draco malfoy attempt fulfill dark lord wish
7473,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i will,28.0,male,2009,['I'],I,[],
7474,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,and will you to the best of your ability protect him from harm,29.0,female,2009,"['good', 'ability', 'protect', 'harm']",good ability protect harm,"['good', 'ability', 'protect', 'harm']",good ability protect harm
7476,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,and should it prove necessary if it seems draco will fail will you yourself carry out the deed that the dark lord has ordered draco to perform,31.0,female,2009,"['prove', 'necessary', 'seem', 'draco', 'fail', 'carry', 'deed', 'dark', 'lord', 'order', 'draco', 'perform']",prove necessary seem draco fail carry deed dark lord order draco perform,"['prove', 'necessary', 'seem', 'draco', 'fail', 'carry', 'deed', 'dark', 'lord', 'order', 'draco', 'perform']",prove necessary seem draco fail carry deed dark lord order draco perform
7478,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,harry potter  who's harry potter,33.0,female,2009,"['harry', 'potter', 'harry', 'potter']",harry potter harry potter,"['harry', 'potter', 'harry', 'potter']",harry potter harry potter
7479,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,oh  um  no one  bit of a tosser,34.0,male,2009,"['oh', 'um', 'one', 'bit', 'tosser']",oh um one bit tosser,"['oh', 'um', 'bit', 'tosser']",oh um bit tosser
7480,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,funny that paper of yours  couple nights ago i could swear i saw one of the pictures move,35.0,female,2009,"['funny', 'paper', 'couple', 'night', 'ago', 'I', 'could', 'swear', 'I', 'see', 'one', 'picture', 'move']",funny paper couple night ago I could swear I see one picture move,"['funny', 'paper', 'couple', 'night', 'ago', 'could', 'swear', 'picture', 'move']",funny paper couple night ago could swear picture move
7481,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,really,36.0,male,2009,['really'],really,['really'],really
7482,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,thought i'd gone round the twist,37.0,female,2009,"['think', 'I', 'would', 'go', 'round', 'twist']",think I would go round twist,"['think', 'round', 'twist']",think round twist
7483,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,hey  i was wondering,38.0,male,2009,"['hey', 'I', 'wonder']",hey I wonder,"['hey', 'wonder']",hey wonder
7484,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,eleven  that's when i get off,39.0,female,2009,"['eleven', 'I', 'get']",eleven I get,['eleven'],eleven
7485,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i once knew a muggle girl from liverpool with hair like spun silk  no light could resist it,40.0,male,2009,"['I', 'know', 'muggle', 'girl', 'liverpool', 'hair', 'like', 'spin', 'silk', 'light', 'could', 'resist']",I know muggle girl liverpool hair like spin silk light could resist,"['muggle', 'girl', 'liverpool', 'hair', 'like', 'spin', 'silk', 'light', 'could', 'resist']",muggle girl liverpool hair like spin silk light could resist
7486,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,i like riding round on the trains it takes my mind off things,41.0,male,2009,"['I', 'like', 'ride', 'round', 'train', 'take', 'mind', 'thing']",I like ride round train take mind thing,"['like', 'ride', 'round', 'train', 'take', 'mind', 'thing']",like ride round train take mind thing
7487,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,rather unpleasant to behold isn't it  the tale is thrilling if i do say so myself but i'm afraid now is not the time to tell it  take my arm,42.0,male,2009,"['rather', 'unpleasant', 'behold', 'not', 'tale', 'thrill', 'I', 'say', 'I', 'afraid', 'not', 'time', 'tell', 'take', 'arm']",rather unpleasant behold not tale thrill I say I afraid not time tell take arm,"['rather', 'unpleasant', 'behold', 'tale', 'thrill', 'afraid', 'time', 'tell', 'take', 'arm']",rather unpleasant behold tale thrill afraid time tell take arm
7488,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,i just apparated didn't i,43.0,male,2009,"['I', 'apparate', 'not', 'I']",I apparate not I,['apparate'],apparate
7489,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,indeed  and quite successfully i might add  most people vomit their first time,44.0,male,2009,"['indeed', 'quite', 'successfully', 'I', 'might', 'add', 'people', 'vomit', 'first', 'time']",indeed quite successfully I might add people vomit first time,"['indeed', 'quite', 'successfully', 'might', 'add', 'people', 'vomit', 'first', 'time']",indeed quite successfully might add people vomit first time
7490,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,can't imagine why,45.0,male,2009,"['not', 'imagine']",not imagine,['imagine'],imagine
7491,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,welcome to the charming village of budleigh babberton harry  i assume right about now you're wondering why i've brought you here am i right,46.0,male,2009,"['welcome', 'charming', 'village', 'budleigh', 'babberton', 'harry', 'I', 'assume', 'right', 'wonder', 'I', 'bring', 'I', 'right']",welcome charming village budleigh babberton harry I assume right wonder I bring I right,"['welcome', 'charming', 'village', 'budleigh', 'babberton', 'harry', 'assume', 'right', 'wonder', 'bring', 'right']",welcome charming village budleigh babberton harry assume right wonder bring right
7492,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,after all these years i just sort of roll with it sir,47.0,male,2009,"['year', 'I', 'sort', 'roll', 'sir']",year I sort roll sir,"['year', 'sort', 'roll', 'sir']",year sort roll sir
7493,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,wand out harry,48.0,male,2009,"['wand', 'harry']",wand harry,"['wand', 'harry']",wand harry
7494,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,lumos,49.0,male,2009,['lumo'],lumo,['lumo'],lumo
7495,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,horace!,50.0,male,2009,"['horace', '!']",horace !,"['horace', '!']",horace !
7496,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace horace slughorn,merlin's beard!,51.0,male,2009,"['merlin', ""'s"", 'beard', '!']",merlin 's beard !,"['merlin', 'beard', '!']",merlin beard !
7497,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,there's no need to disfigure me albus!,52.0,male,2009,"['need', 'disfigure', 'I', 'albus', '!']",need disfigure I albus !,"['need', 'disfigure', 'albus', '!']",need disfigure albus !
7498,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i must say you make a very convincing armchair horace,53.0,male,2009,"['I', 'must', 'say', 'make', 'convincing', 'armchair', 'horace']",I must say make convincing armchair horace,"['must', 'make', 'convincing', 'armchair', 'horace']",must make convincing armchair horace
7499,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,it's all in the upholstery i come by the stuffing naturally what gave me away,54.0,male,2009,"['upholstery', 'I', 'come', 'stuffing', 'naturally', 'give', 'I', 'away']",upholstery I come stuffing naturally give I away,"['upholstery', 'stuffing', 'naturally', 'give', 'away']",upholstery stuffing naturally give away
7500,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,dragon's blood,55.0,male,2009,"['dragon', ""'s"", 'blood']",dragon 's blood,"['dragon', 'blood']",dragon blood
7501,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,yes well i couldn't very well use wizard's blood could i  oho!,56.0,male,2009,"['yes', 'well', 'I', 'could', 'not', 'well', 'use', 'wizard', ""'s"", 'blood', 'could', 'I', 'oho', '!']",yes well I could not well use wizard 's blood could I oho !,"['yes', 'could', 'use', 'wizard', 'blood', 'could', 'oho', '!']",yes could use wizard blood could oho !
7502,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,ah yes  introductions  harry this is an old friend and colleague of mine horace slughorn  horace this is well you know who this is apparently there's some thought he may be the chosen one,57.0,male,2009,"['ah', 'yes', 'introduction', 'harry', 'old', 'friend', 'colleague', 'mine', 'horace', 'slughorn', 'horace', 'well', 'know', 'apparently', 'thought', 'may', 'choose', 'one']",ah yes introduction harry old friend colleague mine horace slughorn horace well know apparently thought may choose one,"['ah', 'yes', 'introduction', 'harry', 'old', 'friend', 'colleague', 'mine', 'horace', 'slughorn', 'horace', 'apparently', 'thought', 'may', 'choose']",ah yes introduction harry old friend colleague mine horace slughorn horace apparently thought may choose
7503,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,so why all the theatrics horace you weren't perhaps expecting someone else were you,58.0,male,2009,"['theatric', 'horace', 'not', 'perhaps', 'expect', 'someone', 'else']",theatric horace not perhaps expect someone else,"['theatric', 'horace', 'perhaps', 'expect', 'someone', 'else']",theatric horace perhaps expect someone else
7504,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,ssomeone else  i'm sure i don't know what you mean,59.0,male,2009,"['ssomeone', 'else', 'I', 'sure', 'I', 'not', 'know', 'mean']",ssomeone else I sure I not know mean,"['ssomeone', 'else', 'sure', 'mean']",ssomeone else sure mean
7505,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,oh all right!  the death eaters have been trying to recruit me for over a year  do you know what that's like  one can only say no to these people so many times before they,60.0,male,2009,"['oh', 'right', '!', 'death', 'eater', 'try', 'recruit', 'I', 'year', 'know', 'like', 'one', 'say', 'people', 'many', 'time']",oh right ! death eater try recruit I year know like one say people many time,"['oh', 'right', '!', 'death', 'eater', 'try', 'recruit', 'year', 'like', 'people', 'many', 'time']",oh right ! death eater try recruit year like people many time
7506,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,take matters into their own hands,61.0,male,2009,"['take', 'matter', 'hand']",take matter hand,"['take', 'matter', 'hand']",take matter hand
7507,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,i never stay anywhere more than a week  the muggles who own this place are in the canary islands,62.0,male,2009,"['I', 'never', 'stay', 'anywhere', 'week', 'muggle', 'place', 'canary', 'island']",I never stay anywhere week muggle place canary island,"['never', 'stay', 'anywhere', 'week', 'muggle', 'place', 'canary', 'island']",never stay anywhere week muggle place canary island
7508,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,well i think it should be put back in order for them don't you mind,63.0,male,2009,"['well', 'I', 'think', 'put', 'back', 'order', 'not', 'mind']",well I think put back order not mind,"['think', 'put', 'back', 'order', 'mind']",think put back order mind
7509,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,that was fun  may i use the loo,64.0,male,2009,"['fun', 'may', 'I', 'use', 'loo']",fun may I use loo,"['fun', 'may', 'use', 'loo']",fun may use loo
7510,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,don't think i don't know why you're here albus!  the answer is still no!  absolutely unequivocally no!,65.0,male,2009,"['not', 'think', 'I', 'not', 'know', 'albus', '!', 'answer', 'still', '!', 'absolutely', 'unequivocally', '!']",not think I not know albus ! answer still ! absolutely unequivocally !,"['think', 'albus', '!', 'answer', 'still', '!', 'absolutely', 'unequivocally', '!']",think albus ! answer still ! absolutely unequivocally !
7511,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,you look very like your father except for your eyes  you've got,66.0,male,2009,"['look', 'like', 'father', 'except', 'eye', 'get']",look like father except eye get,"['look', 'like', 'father', 'except', 'eye']",look like father except eye
7512,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,my mother's eyes yeah,67.0,male,2009,"['mother', ""'s"", 'eye', 'yeah']",mother 's eye yeah,"['mother', 'eye', 'yeah']",mother eye yeah
7513,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,lily  lovely lily  she was exceedingly bright  your mother even more impressive when one considers she was muggleborn,68.0,male,2009,"['lily', 'lovely', 'lily', 'exceedingly', 'bright', 'mother', 'even', 'impressive', 'one', 'consider', 'muggleborn']",lily lovely lily exceedingly bright mother even impressive one consider muggleborn,"['lily', 'lovely', 'lily', 'exceedingly', 'bright', 'mother', 'even', 'impressive', 'consider', 'muggleborn']",lily lovely lily exceedingly bright mother even impressive consider muggleborn
7514,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,one of my best friends is muggle born  she's the best in our year,69.0,male,2009,"['one', 'good', 'friend', 'muggle', 'bear', 'good', 'year']",one good friend muggle bear good year,"['good', 'friend', 'muggle', 'bear', 'good', 'year']",good friend muggle bear good year
7515,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,oh but you mustn't think i'm prejudiced!  no no no! your mother was one of my absolute favorites!  look there she is right up front,70.0,male,2009,"['oh', 'must', 'not', 'think', 'I', 'prejudiced', '!', '!', 'mother', 'one', 'absolute', 'favorite', '!', 'look', 'right', 'front']",oh must not think I prejudiced ! ! mother one absolute favorite ! look right front,"['oh', 'must', 'think', 'prejudiced', '!', '!', 'mother', 'absolute', 'favorite', '!', 'look', 'right', 'front']",oh must think prejudiced ! ! mother absolute favorite ! look right front
7516,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,all mine each and every one  ex students i mean  you recognize barnubas cuffe of course editor of the daily prophet,71.0,male,2009,"['mine', 'every', 'one', 'ex', 'student', 'I', 'mean', 'recognize', 'barnubas', 'cuffe', 'course', 'editor', 'daily', 'prophet']",mine every one ex student I mean recognize barnubas cuffe course editor daily prophet,"['mine', 'every', 'ex', 'student', 'mean', 'recognize', 'barnubas', 'cuffe', 'course', 'editor', 'daily', 'prophet']",mine every ex student mean recognize barnubas cuffe course editor daily prophet
7517,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,always takes my owl should i want to register my opinion on the news of the day  and there's ambrosius flume of honeydukes  sends a hamper of chocolate to the house each birthday  that is when i had a house  and gwenog jones captain of the holyhead harpies  free tickets whenever i want them of course i haven't been to a match in some time,72.0,male,2009,"['always', 'take', 'owl', 'I', 'want', 'register', 'opinion', 'news', 'day', ""'"", 'ambrosius', 'flume', 'honeyduke', 'send', 'hamper', 'chocolate', 'house', 'birthday', 'I', 'house', 'gwenog', 'jones', 'captain', 'holyhead', 'harpie', 'free', 'ticket', 'whenever', 'I', 'want', 'course', 'I', 'not', 'match', 'time']",always take owl I want register opinion news day ' ambrosius flume honeyduke send hamper chocolate house birthday I house gwenog jones captain holyhead harpie free ticket whenever I want course I not match time,"['always', 'take', 'owl', 'want', 'register', 'opinion', 'news', 'day', ""'"", 'ambrosius', 'flume', 'honeyduke', 'send', 'hamper', 'chocolate', 'house', 'birthday', 'house', 'gwenog', 'jones', 'captain', 'holyhead', 'harpie', 'free', 'ticket', 'whenever', 'want', 'course', 'match', 'time']",always take owl want register opinion news day ' ambrosius flume honeyduke send hamper chocolate house birthday house gwenog jones captain holyhead harpie free ticket whenever want course match time
7518,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,ah yes  regulus black  you no doubt know of his older brother sirius  died a few weeks ago  i taught the whole black family except sirius  shame  talented boy  i got regulus when he came along of course but i'd have liked the set,73.0,male,2009,"['ah', 'yes', 'regulus', 'black', 'doubt', 'know', 'old', 'brother', 'sirius', 'die', 'week', 'ago', 'I', 'teach', 'whole', 'black', 'family', 'except', 'sirius', 'shame', 'talented', 'boy', 'I', 'get', 'regulus', 'come', 'along', 'course', 'I', 'would', 'like', 'set']",ah yes regulus black doubt know old brother sirius die week ago I teach whole black family except sirius shame talented boy I get regulus come along course I would like set,"['ah', 'yes', 'regulus', 'black', 'doubt', 'old', 'brother', 'sirius', 'die', 'week', 'ago', 'teach', 'whole', 'black', 'family', 'except', 'sirius', 'shame', 'talented', 'boy', 'regulus', 'along', 'course', 'like', 'set']",ah yes regulus black doubt old brother sirius die week ago teach whole black family except sirius shame talented boy regulus along course like set
7519,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,mind if i take this  i do love knitting patterns,74.0,male,2009,"['mind', 'I', 'take', 'I', 'love', 'knit', 'pattern']",mind I take I love knit pattern,"['mind', 'take', 'love', 'knit', 'pattern']",mind take love knit pattern
7520,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,of course  but you're not leaving,75.0,male,2009,"['course', 'not', 'leave']",course not leave,"['course', 'leave']",course leave
7521,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i think i know a lost cause when i see one  regrettable  i would have considered it a personal triumph had you consented to return to hogwarts horace  you are like my friend mr potter  one of a kind,76.0,male,2009,"['I', 'think', 'I', 'know', 'lost', 'cause', 'I', 'see', 'one', 'regrettable', 'I', 'would', 'consider', 'personal', 'triumph', 'consent', 'return', 'hogwart', 'horace', 'like', 'friend', 'mr', 'potter', 'one', 'kind']",I think I know lost cause I see one regrettable I would consider personal triumph consent return hogwart horace like friend mr potter one kind,"['think', 'lost', 'cause', 'regrettable', 'consider', 'personal', 'triumph', 'consent', 'return', 'hogwart', 'horace', 'like', 'friend', 'mr', 'potter', 'kind']",think lost cause regrettable consider personal triumph consent return hogwart horace like friend mr potter kind
7522,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,all right!  i'll do it  but i'll be wanting professor merrythought's old office not that water closet i had formerly and i expect a raise!  these are mad times we live in!  mad!,77.0,male,2009,"['right', '!', 'I', 'I', 'want', 'professor', 'merrythought', ""'s"", 'old', 'office', 'not', 'water', 'closet', 'I', 'formerly', 'I', 'expect', 'raise', '!', 'mad', 'time', 'live', '!', 'mad', '!']",right ! I I want professor merrythought 's old office not water closet I formerly I expect raise ! mad time live ! mad !,"['right', '!', 'want', 'professor', 'merrythought', 'old', 'office', 'water', 'closet', 'formerly', 'expect', 'raise', '!', 'mad', 'time', 'live', '!', 'mad', '!']",right ! want professor merrythought old office water closet formerly expect raise ! mad time live ! mad !
7523,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,indeed they are,78.0,male,2009,['indeed'],indeed,['indeed'],indeed
7524,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,sir exactly what was that all,79.0,male,2009,"['sir', 'exactly']",sir exactly,"['sir', 'exactly']",sir exactly
7525,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,you are talented famous and powerful  everything horace values  professor slughorn is going to try to collect you harry  you would be his crowning jewel  that is why he is returning to hogwarts  and it is crucial he return,80.0,male,2009,"['talente', 'famous', 'powerful', 'everything', 'horace', 'value', 'professor', 'slughorn', 'go', 'try', 'collect', 'harry', 'would', 'crown', 'jewel', 'return', 'hogwart', 'crucial', 'return']",talente famous powerful everything horace value professor slughorn go try collect harry would crown jewel return hogwart crucial return,"['talente', 'famous', 'powerful', 'everything', 'horace', 'value', 'professor', 'slughorn', 'try', 'collect', 'harry', 'crown', 'jewel', 'return', 'hogwart', 'crucial', 'return']",talente famous powerful everything horace value professor slughorn try collect harry crown jewel return hogwart crucial return
7526,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i fear i may have stolen a wondrous night from you harry she was truthfully very pretty the girl,81.0,male,2009,"['I', 'fear', 'I', 'may', 'steal', 'wondrous', 'night', 'harry', 'truthfully', 'pretty', 'girl']",I fear I may steal wondrous night harry truthfully pretty girl,"['fear', 'may', 'steal', 'wondrous', 'night', 'harry', 'truthfully', 'pretty', 'girl']",fear may steal wondrous night harry truthfully pretty girl
7527,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,it's alright sir  i'll go back tomorrow make some excuse,82.0,male,2009,"['alright', 'sir', 'I', 'go', 'back', 'tomorrow', 'make', 'excuse']",alright sir I go back tomorrow make excuse,"['alright', 'sir', 'back', 'tomorrow', 'make', 'excuse']",alright sir back tomorrow make excuse
7528,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,you'll not be going back to little whinging tonight harry,83.0,male,2009,"['not', 'go', 'back', 'little', 'whinging', 'tonight', 'harry']",not go back little whinging tonight harry,"['back', 'little', 'whinging', 'tonight', 'harry']",back little whinging tonight harry
7529,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,but sir  what about hedwig  and there's my trunk,84.0,male,2009,"['sir', 'hedwig', 'trunk']",sir hedwig trunk,"['sir', 'hedwig', 'trunk']",sir hedwig trunk
7530,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,both are waiting for you,85.0,male,2009,['wait'],wait,['wait'],wait
